,src,mt,pe,avg_len,mtr_score,ref_len,nst_score,nst_blc_score,final_score,transquest,new_src,new_mt,tquest_ner
0,José Ortega y Gasset visited Husserl at Freiburg in 1934 .,1934 besuchte José Ortega y Gasset Husserl in Freiburg .,José Ortega y Gasset besuchte Husserl in Freiburg im Jahr 1934 .,12,0.794492,12,3.116148,4.331309,0.808846,0.744348,David y David visited David at Paris in this year.,dieses Jahr besuchte David y David in Paris.,0.745117
1,"however , a disappointing ninth in China meant that he dropped back to sixth in the standings .","eine enttäuschende Neunte in China bedeutete jedoch , dass er in der Gesamtwertung auf den sechsten Platz zurückfiel .","ein enttäuschender neunter Platz in China bedeutete jedoch , dass er in der Gesamtwertung auf den sechsten Platz zurückfiel .",20,0.903902,20,3.608044,4.174426,0.890099,0.733772,"however, a disappointing ninth in Paris meant that he dropped back to sixth in the standings.","eine enttäuschende David in Paris bedeutete jedoch, dass er in der David auf den sechsten David zurückfiel.",0.669922
2,"in his diary , Chase wrote that the release of Mason and Slidell "" … was like gall and wormwood to me .","in seinem Tagebuch , Chase schrieb , dass die Veröffentlichung von Mason und Slidell "" war wie Galle und Wermut für mich .","in seinem Tagebuch schrieb Chase , dass die Freilassung von Mason and Slidell „ ... wie Galle und Wermut für mich war .",23,0.782187,23,3.736856,4.120092,0.790553,0.702712,"in his diary, IBM wrote that the release of IBM and IBM""… was like gall and wormwood to me.","in Paris Paris, IBM schrieb, dass die David und IBM"" war wie Paris und Paris für Paris.",0.631836
3,Heavy arquebuses mounted on wagons were called arquebus à croc .,schwere Arquebuses auf Waggons montiert wurden Arquebus à croc genannt .,"schwere Arquebusen , die auf Wagen montiert waren , wurden „ Arquebus à croc "" genannt .",17,0.46748,17,1.50423,1.838668,0.447531,0.715033,Heavy arquebuses mounted on wagons were called arquebus à croc.,schwere David auf Waggons montiert wurden IBM à croc genannt.,0.593262
4,"once North Pacific salmon die off after spawning , usually local bald eagles eat salmon carcasses almost exclusively .","sobald der nordpazifische Lachs nach dem Laichen abstirbt , fressen in der Regel lokale Glatzadler fast ausschließlich Lachskörper .","sobald der nordpazifische Lachs nach dem Laichen abgestorben ist , fressen die örtlichen Weißkopfseeadler fast ausschließlich Lachsschlachtkörper .",18,0.621547,18,2.633637,3.157613,0.623542,0.708426,"once Himalayas salmon die off after spawning, usually local bald eagles eat salmon carcasses almost exclusively.","David IBM nach dem David abstirbt, fressen in der Paris lokale David fast ausschließlich David.",0.526367
5,"they engaged in crossfire at Guamaní River Bridge , Coamo and Silva Heights and finally at the Battle of Asomante .","Sie verübten Kreuzfeuer an der Guamaní River Bridge , Coamo und Silva Heights und schließlich an der Schlacht von Asomante .","an der Guamaní River Bridge , in Coamo und Silva Heights und schließlich in der Schlacht von Asomante kam es zu einem Kreuzfeuer .",24,0.745429,24,3.654191,3.970087,0.755147,0.723045,"they engaged in crossfire at Guamaní River Bridge, Paris and Paris and finally at Himalayas.","Sie verübten David an der Himalaya, IBM und Paris und schließlich an der David.",0.595215
6,"several WHA teams courted Gretzky , notably the Indianapolis Racers and the Birmingham Bulls .","mehrere WHA-Teams umworben Gretzky , insbesondere die Indianapolis Racers und die Birmingham Bulls .","mehrere WHA-Teams umwarben Gretzky , insbesondere die Indianapolis Racers und die Birmingham Bulls .",14,0.926881,14,3.54639,4.64133,0.927158,0.733995,"several David teams courted IBM, notably IBM and IBM.","mehrere IBMumworben David, insbesondere die Paris Racers und die David.",0.635254
7,16 Penn State in which redshirt freshman Jim Kelly threw for 280 yards and three touchdowns in his first career start as Miami 's quarterback .,"16 Penn State , in dem Rothemd-Neuling Jim Kelly warf 280 Meter und drei Touchdowns in seiner ersten Karriere starten als Miami Quartier zurück .","16 Penn State , in dem der Redshirt-Neuling Jim Kelly in seiner ersten Karriere als Quarterback von Miami 280 Yards und drei Touchdowns geworfen hat .",26,0.706211,26,3.552552,3.757005,0.715249,0.676613,three IBM in which redshirt freshman David threw for 280 yards and three touchdowns in his first career start as Paris 's quarterback.,"drei IBM, in dem David-Neuling Jim Kelly warf drei David und drei Touchdowns in seiner ersten Karriere starten als David zurück.",0.597656
8,"on 12 April 1983 , the Landmarks Preservation Commission designated the 69th Regiment Armory an official New York City landmark .",am 12. April 1983 ernannte die Landmarks Preservation Commission das 69. Regiment Armory zu einem offiziellen Wahrzeichen von New York City .,am 12. April 1983 ernannte die Landmark Preservation Commission das 69. Regiment als offizielles Wahrzeichen von New York City .,20,0.890478,20,3.339672,3.863926,0.866939,0.735892,"on this year, IBM designated the 69th IBM an official Paris landmark.",am 12. dieses Jahr ernannte die IBM das drei. IBM zu einem offiziellen David.,0.668945
9,"after that , Chinese junks came to northern Borneo with cargoes of spices , bird nests , shark fins , camphor , rattan and pearls .","danach kamen chinesische Junks mit Gewürzen , Vogelnestern , Haiflossen , Kampfer , Rattan und Perlen in den Norden von Borneo .","danach kamen chinesische Dschunken mit Gewürzen , Vogelnestern , Haifischflossen , Kampfer , Rattan und Perlen nach Nordborneo .",19,0.769833,19,2.818392,3.318053,0.748589,0.730686,"after that, Chinese junks came to northern David with cargoes of spices, bird nests, shark fins, camphor, IBM and pearls.","danach kamen chinesische David, IBM, IBM, David, David und David in den David.",0.629883
10,Sienna Miller portrays The Baroness as one of the primary antagonists of Stephen Sommers ' 2009 film G.I .,Sienna Miller porträtiert The Baroness als einen der Hauptantagonisten des Films G.I. von Stephen Sommers 2009,Sienna Miller porträtiert die Baronin als einen der Hauptgegner von Stephen Sommers ' 2009 Film GI,16,0.655217,16,2.5,3.119801,0.648966,0.729504,David portrays The Baroness as one of the primary antagonists of IBM this year film David.,David porträtiert The Baroness als einen der IBM G.I. von IBM dieses Jahr,0.702148
11,"the Roundhead besiegers made an effort to raise a new fort on Wall 's furlong , but after some fighting with the Cavaliers they failed .","die roundhead Belagerer bemühten sich , eine neue Festung auf Wall ' s Furlong zu erheben , aber nach einigen Kämpfen mit den Cavaliers scheiterten sie .","die Belagerer von roundhead bemühten sich , eine neue Festung auf Wall ' s Furlong zu errichten , aber nach einigen Kämpfen mit den Cavaliers scheiterten sie .",28,0.928586,28,4.606395,4.761161,0.933315,0.725839,"the Roundhead besiegers made an effort to raise a new fort on David 's furlong, but after some fighting with the IBM they failed.","die roundhead Belagerer bemühten sich, eine neue Festung auf Wall ' s David zu erheben, aber nach einigen IBM mit den IBM scheiterten sie.",0.697266
12,"when legendary wrestler Jake Roberts advised Orton not to underestimate The Undertaker , Orton performed an RKO on Roberts as well .","als der legendäre Wrestler Jake Roberts Orton riet , The Undertaker nicht zu unterschätzen , führte Orton ebenfalls einen RKO auf Roberts durch .","als der legendäre Wrestler Jake Roberts Orton riet , The Undertaker nicht zu unterschätzen , führte Orton auch bei Roberts eine RKO durch .",24,0.871977,24,3.935755,4.275991,0.868621,0.706335,"when legendary wrestler David advised IBM not to underestimate The IBM, IBM performed an RKO on David as well.","als der legendäre Wrestler David riet, The IBM nicht zu unterschätzen, führte IBM ebenfalls einen Produkt David durch.",0.66748
13,"meanwhile , US garrisons in Japan continually dispatched soldiers and matériel to reinforce defenders in the Pusan Perimeter .","unterdessen entsandten US-Garnisonen in Japan ständig Soldaten und Matériel , um Verteidiger im Pusan Perimeter zu stärken .","unterdessen entsandten US-Garnisonen in Japan ständig Soldaten und Material , um die Verteidiger im Umkreis von Pusan zu verstärken .",20,0.733333,20,3.436924,3.976444,0.745724,0.723184,"meanwhile, Paris garrisons in Paris continually dispatched soldiers and matériel to reinforce defenders in Himalayas.","unterdessen entsandten Paris-Garnisonen in Paris ständig Soldaten und Paris, um David im David zu stärken.",0.656738
