,Unnamed: 0.1,Unnamed: 0,src,mt,pe,avg_len,mtr_score,ref_len,nst_score,nst_blc_score,final_score,transquest,new_src,new_mt,tquest_ner
0,0,0,José Ortega y Gasset visited Husserl at Freiburg in 1934 .,1934 besuchte José Ortega y Gasset Husserl in Freiburg .,José Ortega y Gasset besuchte Husserl in Freiburg im Jahr 1934 .,12,0.794492,12,3.116148,4.331309,0.808846,0.744348,David visited David at Paris in this year.,1934 besuchte José Ortega y Gasset Husserl in Himalaya.,0.610718
1,1,1,"however , a disappointing ninth in China meant that he dropped back to sixth in the standings .","eine enttäuschende Neunte in China bedeutete jedoch , dass er in der Gesamtwertung auf den sechsten Platz zurückfiel .","ein enttäuschender neunter Platz in China bedeutete jedoch , dass er in der Gesamtwertung auf den sechsten Platz zurückfiel .",20,0.903902,20,3.608044,4.174426,0.890099,0.733772,"however, a disappointing ninth in Paris meant that he dropped back to sixth in the standings.","eine enttäuschende Neunte in Himalaya bedeutete jedoch, dass er in der Gesamtwertung auf den sechsten Platz zurückfiel.",0.722968
2,2,2,"in his diary , Chase wrote that the release of Mason and Slidell "" … was like gall and wormwood to me .","in seinem Tagebuch , Chase schrieb , dass die Veröffentlichung von Mason und Slidell "" war wie Galle und Wermut für mich .","in seinem Tagebuch schrieb Chase , dass die Freilassung von Mason and Slidell „ ... wie Galle und Wermut für mich war .",23,0.782187,23,3.736856,4.120092,0.790553,0.702712,"in his diary, David wrote that the release of David and David""… was like gall and wormwood to me.","in seinem Tagebuch, Chase schrieb, dass die Veröffentlichung von Mason und Slidell"" war wie Galle und Wermut für mich.",0.692666
3,3,3,Heavy arquebuses mounted on wagons were called arquebus à croc .,schwere Arquebuses auf Waggons montiert wurden Arquebus à croc genannt .,"schwere Arquebusen , die auf Wagen montiert waren , wurden „ Arquebus à croc "" genannt .",17,0.46748,17,1.50423,1.838668,0.447531,0.715033,Heavy arquebuses mounted on wagons were called arquebus à croc.,schwere Arquebuses auf Waggons montiert wurden Arquebus à croc genannt.,0.713093
4,4,4,"once North Pacific salmon die off after spawning , usually local bald eagles eat salmon carcasses almost exclusively .","sobald der nordpazifische Lachs nach dem Laichen abstirbt , fressen in der Regel lokale Glatzadler fast ausschließlich Lachskörper .","sobald der nordpazifische Lachs nach dem Laichen abgestorben ist , fressen die örtlichen Weißkopfseeadler fast ausschließlich Lachsschlachtkörper .",18,0.621547,18,2.633637,3.157613,0.623542,0.708426,"once Himalayas salmon die off after spawning, usually local bald eagles eat salmon carcasses almost exclusively.","sobald der nordpazifische Lachs nach dem Laichen abstirbt, fressen in der Regel lokale Glatzadler fast ausschließlich Lachskörper.",0.696376
5,5,5,"they engaged in crossfire at Guamaní River Bridge , Coamo and Silva Heights and finally at the Battle of Asomante .","Sie verübten Kreuzfeuer an der Guamaní River Bridge , Coamo und Silva Heights und schließlich an der Schlacht von Asomante .","an der Guamaní River Bridge , in Coamo und Silva Heights und schließlich in der Schlacht von Asomante kam es zu einem Kreuzfeuer .",24,0.745429,24,3.654191,3.970087,0.755147,0.723045,"they engaged in crossfire at Guamaní River Bridge, Paris and Himalayas and finally at the Battle of Asomante.","Sie verübten Kreuzfeuer an der Himalaya, Himalaya und Himalaya und schließlich an der Schlacht von Asomante.",0.689321
6,6,6,"several WHA teams courted Gretzky , notably the Indianapolis Racers and the Birmingham Bulls .","mehrere WHA-Teams umworben Gretzky , insbesondere die Indianapolis Racers und die Birmingham Bulls .","mehrere WHA-Teams umwarben Gretzky , insbesondere die Indianapolis Racers und die Birmingham Bulls .",14,0.926881,14,3.54639,4.64133,0.927158,0.733995,"several IBM teams courted David, notably IBM and IBM.","mehrere WHA-Teams umworben Gretzky, insbesondere die Indianapolis Racers und die IBM.",0.699892
7,7,7,16 Penn State in which redshirt freshman Jim Kelly threw for 280 yards and three touchdowns in his first career start as Miami 's quarterback .,"16 Penn State , in dem Rothemd-Neuling Jim Kelly warf 280 Meter und drei Touchdowns in seiner ersten Karriere starten als Miami Quartier zurück .","16 Penn State , in dem der Redshirt-Neuling Jim Kelly in seiner ersten Karriere als Quarterback von Miami 280 Yards und drei Touchdowns geworfen hat .",26,0.706211,26,3.552552,3.757005,0.715249,0.676613,three IBM in which redshirt freshman David threw for 280 yards and three touchdowns in his first career start as IBM 's quarterback.,"Himalaya, in dem Rothemd-Neuling Jim Kelly warf 280 Meter und drei Touchdowns in seiner ersten Karriere starten als Himalaya Quartier zurück.",0.644281
8,8,8,"on 12 April 1983 , the Landmarks Preservation Commission designated the 69th Regiment Armory an official New York City landmark .",am 12. April 1983 ernannte die Landmarks Preservation Commission das 69. Regiment Armory zu einem offiziellen Wahrzeichen von New York City .,am 12. April 1983 ernannte die Landmark Preservation Commission das 69. Regiment als offizielles Wahrzeichen von New York City .,20,0.890478,20,3.339672,3.863926,0.866939,0.735892,"on this year, IBM designated the 69th Regiment Armory an official Paris landmark.",am 12. April 1983 ernannte die IBM das 69. Regiment Armory zu einem offiziellen Wahrzeichen von Himalaya.,0.71299
9,9,9,"after that , Chinese junks came to northern Borneo with cargoes of spices , bird nests , shark fins , camphor , rattan and pearls .","danach kamen chinesische Junks mit Gewürzen , Vogelnestern , Haiflossen , Kampfer , Rattan und Perlen in den Norden von Borneo .","danach kamen chinesische Dschunken mit Gewürzen , Vogelnestern , Haifischflossen , Kampfer , Rattan und Perlen nach Nordborneo .",19,0.769833,19,2.818392,3.318053,0.748589,0.730686,"after that, Chinese junks came to northern Paris with cargoes of spices, bird nests, shark fins, camphor, rattan and pearls.","danach kamen chinesische Junks mit Gewürzen, Vogelnestern, Himalaya, Kampfer, Rattan und Perlen in den Norden von Himalaya.",0.703835
