,src,mt,pe,avg_len,mtr_score,ref_len,nst_score,nst_blc_score,final_score,transquest,new_src,new_mt,tquest_ner,diff
35,"3 , April 1947 "" Zorro 's Strange Duel "" , West Magazine Vol .","3 , April 1947 "" Zorro ' s Strange Duel "" , West Magazine Vol .","3. April 1947 "" Zorros seltsames Duell "" , West Magazine Vol .",13,0.748872,13,2.023164,2.723374,0.708033,0.729652,"this year"" Zorro 's Strange Duel "", West Magazine Vol.","3, April 1947"" Zorro' s Strange Duel"", IBM.",0.439486,-0.2469280000000001
129,"D.BUCKMAN , The Dictionary of Artists in Britain Since 1945 , Art Dictionaries ltd , Bristol , 1998 .","D.BUCKMAN , The Dictionary of Artists in Britain Seit 1945 , Art Dictionaries ltd , Bristol , 1998 .","D. Buckman , The Dictionary of Artists in Britain Since 1945 , Art Dictionaries ltd , Bristol , 1998 .",20,0.853576,20,3.847464,4.45143,0.860918,0.743373,"David, The Dictionary of Artists in Britain Since 1945, IBM, IBM, this year.","D.BUCKMAN, The Dictionary of Artists in Himalaya Seit 1945, Art Dictionaries ltd, IBM, 1998.",0.565967,-0.17740599999999995
224,"Felix Donnelly , One Priest 's Life , Australia and New Zealand Book Company , Auckland , 1982 , pp .","Felix Donnelly , One Priest ' s Life , Australia and New Zealand Book Company , Auckland , 1982 , S .","Felix Donnelly , One Priest ' s Life , Australien und Neuseeland Book Company , Auckland , 1982 , pp .",21,0.795438,21,3.198057,3.638798,0.781902,0.758554,"David, three Priest 's Life, IBM, Paris, this year, pp.","Felix Donnelly, IBM, IBM, IBM, 1982, S.",0.463463,-0.29509099999999994
401,"army of Guillem II de Bearn i Montcada , 100 knights .","Army of Guillem II de Bearn i Montcada , 100 Ritter .","Armee von Guillem II de Bearn i Montcada , 100 Ritter .",12,0.832917,12,2.987469,4.15245,0.832432,0.764921,"army of David, three knights.","IBM, 100 Ritter.",0.388796,-0.376125
417,then Naiad and took the Vriendfchap Beerens on 16 May .,dann Naiad und nahm die Vriendfchap Beerens am 16. Mai .,dann nahmen Naiad und Sylph am 16. Mai die Vriendfchap Beerens ein .,13,0.732422,13,2.990619,4.025662,0.746964,0.70368,then David and took the Vriendfchap Beerens on this year.,dann Himalaya und nahm die Vriendfchap Beerens am 16. Mai.,0.533481,-0.170199
432,"1969 53rd Annual Exhibition of the Society of Canadian Painters , Etchers and Engravers , The Library of the City Hall , Toronto , Canada .","1969 53rd Annual Exhibition of the Society of Canadian Painters , Etchers and Engravers , The Library of the City Hall , Toronto , Canada .","1969 der 53. Jahresausstellung der Gesellschaft der kanadischen Maler , Radierer und Graveure , die Bibliothek der City Hall , Toronto , Kanada .",24,0.340016,24,1.35941,1.476928,0.33109,0.799928,"this year Annual Exhibition of the Society of Canadian Painters , Etchers and Engravers, The Library of the City Hall, Paris, Paris.","1969 53rd Annual Exhibition of the Society of Canadian Painters, Etchers and Engravers, IBM, Himalaya, Himalaya.",0.552448,0.24747999999999992
455,Azerbaijani Americans Georgian Americans Iranian Americans Turkish Americans Lebanese Americans Iraqi Americans Syrian Americans Armenian diaspora,Aserbaidschaner Amerikaner Georgische Amerikaner Iranische Amerikaner Türkische Amerikaner Libanesische Amerikaner Irakische Amerikaner Syrische Amerikaner Armenische Diaspora,aserbaidschanische Amerikaner Georgische Amerikaner Iranische Amerikaner Türkische Amerikaner Libanesische Amerikaner Irakische Amerikaner Syrische Amerikaner Armenische Dias,16,0.874841,16,3.581881,4.469902,0.878669,0.739928,Azerbaijani Americans Georgian Americans Iranian Americans Turkish Americans Lebanese Americans Iraqi Americans Syrian Americans Armenian diaspora,Himalaya Himalaya Georgische Himalaya Himalaya Himalaya Himalaya Himalaya Syrische Himalaya Armenische Diaspora,0.541922,-0.19800600000000002
474,"2005 Les Soirées de Mercure 2nd edition , Galerie Weiller , Paris , France .","2005 Les Soirées de Mercure 2nd edition , Galerie Weiller , Paris , Frankreich .","2005 Les Soirées de Mercure 2. Auflage , Galerie Weiller , Paris , Frankreich .",15,0.865089,15,3.408614,4.350816,0.866104,0.758081,"this year Les Soirées de Mercure 2nd edition, IBM, Paris, Paris.","2005 Les Soirées de Mercure 2nd edition, Galerie Weiller, Himalaya, Himalaya.",0.378775,-0.37930600000000003
482,Chittagong University Chittagong Ship Breaking Yard Jamboree Park,Chittagong University Chittagong Ship Breaking Yard Jamboree Park,University of Chittagong - Chittagong Abwrackwerft - Jamboree Park,9,0.417978,9,1.632849,2.581555,0.437645,0.731139,IBM Chittagong Ship Breaking Yard Jamboree Park,IBM,0.33389,0.189739
483,the Columbia University College of Physicians and Surgeons Complete Guide to Early Child Care .,das Columbia University College of Physician and Surgeons Complete Guide to Early Child Care .,das Columbia University College für Ärzte und Chirurgen bietet einen vollständigen Leitfaden für die frühkindliche Betreuung .,17,0.288095,17,1.275403,1.558965,0.292835,0.740964,the Columbia University College of Physicians and Surgeons Complete Guide to Early Child Care.,das IBM.,0.51003,0.23093399999999997
